"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Ke, Weijun","2015-03-23","Efficient hole-blocking layer-free planar halide perovskite thin-film solar cells","https://www.nature.com/articles/ncomms7700","10.1038/ncomms7700","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","","","Spin-coating","","","Evaporation","60-100 nm"
"Xu, Jixian","2015-05-08","Perovskite–fullerene hybrid materials suppress hysteresis in planar diodes","https://www.nature.com/articles/ncomms8081","10.1038/ncomms8081","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Au","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","5000 rpm 60 s","","Evaporation","50 nm"
"Chen, Qi","2015-06-12","The optoelectronic role of chlorine in CH3NH3PbI3(Cl)-based perovskite solar cells","https://www.nature.com/articles/ncomms8269","10.1038/ncomms8269","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","2500 rpm 30 s","","","","","Evaporation","60-100 nm"
"Choi, Hyosung","2015-06-17","Conjugated polyelectrolyte hole transport layer for inverted-type perovskite solar cells","https://www.nature.com/articles/ncomms8348","10.1038/ncomms8348","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","Spin-coating","","","","","","Spin-coating","","","Evaporation","100 nm"
"Shin, Seong Sik","2015-06-22","High-performance flexible perovskite solar cells exploiting Zn2SnO4 prepared in solution below 100 °C","https://www.nature.com/articles/ncomms8410","10.1038/ncomms8410","PEN | ITO","UNKNOWN","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","TRUE","","","","","Spin-coating","1000 rpm 10 s 5000 rpm 20 s","","","","","Evaporation","60-100 nm"
"Chen, Qi","2015-07-13","Quantitative o perando visualization of the energy band depth profile in solar cells","https://www.nature.com/articles/ncomms8745","10.1038/ncomms8745","SLG | ITO","P3HT","UNKNOWN","","","","","","","","PCBM","Al","FALSE","","Spin-coating","600 rpm 60 s","130 C 10 min","","","","Spin-coating","600 rpm 60 s","130 C 10 min","Evaporation","100 nm"
"Xu, Jiantie","2015-08-27","Efficiently photo-charging lithium-ion battery by perovskite solar cell","https://www.nature.com/articles/ncomms9103","10.1038/ncomms9103","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Al","FALSE","pin","","","","","","","Spin-coating","1000 rpm 60 s","","Evaporation","100 nm"
"Jiang, Chun-Sheng","2015-09-28","Carrier separation and transport in perovskite solar cells studied by nanometre-scale profiling of electrical potential","https://www.nature.com/articles/ncomms9397","10.1038/ncomms9397","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","Spin-coating","4500 rpm 15 s","150 C 2 min","Spray pyrolysis","","","Evaporation","150 nm"
"Kinoshita, Takumi","2015-11-05","Spectral splitting photovoltaics using perovskite and wideband dye-sensitized solar cells","https://www.nature.com/articles/ncomms9834","10.1038/ncomms9834","SLG | FTO","UNKNOWN","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","","","","","Spin-coating","1000 rpm 5 s 5000 rpm 10 s","","Spray pyrolysis","","","Evaporation","60-100 nm"
"Fu, Fan","2015-11-18","Low-temperature-processed efficient semi-transparent planar perovskite solar cells for bifacial and tandem applications","https://www.nature.com/articles/ncomms9932","10.1038/ncomms9932","SLG | FTO","MoO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","","","","","Spin-coating","","","Spin-coating","2000 rpm 40 s","","Evaporation","60 nm"
