"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Edison Castro","2020/04/13","α-DTC 70 fullerene performs significantly better than β-DTC70 as electron transporting material in perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01382j","10.1039/D0TC01382J","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C70","Ag","FALSE","pin","Spin-coating","5000 rpm 30 s","","Spin-coating","800 rpm 10 s 4000 rpm 25 s","","","","","Evaporation","80-120 nm"
"Qingxia Fu","2020/04/23","An efficient and stable tin-based perovskite solar cell passivated by aminoguanidine hydrochloride  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01464h","10.1039/D0TC01464H","SLG | ITO","pedot:pss","FASnI3","FASnI","FA","1.0","Sn","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","","140 C 15 min","Spin-coating","5000 rpm 30 s","","Spin-coating","2000 rpm 30 s","","Evaporation","100 nm"
"Ran Ji","2020/04/29","Thermally evaporated methylammonium-free perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01550d","10.1039/D0TC01550D","SLG | ITO","f6-tcnnq","Cs0.1FA0.9PbI2.9Br0.1","CsFAPbIBr","FA, Cs","0.9, 0.1","Pb","1.0","Br, I","0.1, 2.9","PC61BM","Ag","FALSE","","Evaporation","","","Spin-coating","1000 rpm 10 s 6000 rpm 30 s","","Spin-coating","2000 rpm 30 s","","Evaporation","80 nm"
"Ho Won Tam","2020/05/07","Phase control for quasi-2D blue emitters by spacer cation engineering  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01631d","10.1039/D0TC01631D","SLG | ITO","NiOx","PPA2MAPb2Br7","MAPbBr","MA","1.0","Pb","2.0","Br","7.0","Cs2CO3","Al","FALSE","pin","Spin-coating","3000 rpm 30 s","275 C 10 min","Spin-coating","1000 rpm 10 s 4000 rpm 45 s","","","","","Evaporation",""
"Junming Li","2020/05/23","An inorganic stable Sn-based perovskite film with regulated nucleation for solar cell application  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01800g","10.1039/D0TC01800G","SLG | ITO","spiro-ometad","CsSnI3","CsSnI","Cs","1.0","Sn","1.0","I","3.0","C60","Ag","FALSE","nip","Spin-coating","1800 rpm 30 s","","Spin-coating","2000 rpm 60 s","60 C 10 min","","","","Evaporation","80-120 nm"
"Zhenzhen Li","2020/05/04","All-inorganic 0D/3D Cs 4 Pb(IBr) 6 /CsPbI 3−x Br x mixed-dimensional perovskite solar cells with enhanced efficiency and stability  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01832e","10.1039/D0TC01832E","SLG | FTO","spiro-ometad","Cs4Pb(IBr)6","CsPbIBr","Cs","4.0","Pb","1.0","Br, I","6.0, 6.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","","","Spin-coating","4000 rpm 20 s","","Evaporation","65 nm"
"Pang Wang","2020/05/12","Dopant-free polymeric hole transport materials for efficient CsPbI 2 Br perovskite cells with a fill factor exceeding 84%  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01892a","10.1039/D0TC01892A","SLG | ITO","spiro-ometad","CsPbI2Br","CsPbIBr","Cs","1.0","Pb","1.0","Br, I","1.0, 2.0","ZnO","","FALSE","nip","","","","Spin-coating","1500 rpm 10 s 4000 rpm 30 s","50 C 30 s 240 C 60 s","","","","",""
"Siyuan Han","2020/06/01","Side-chain engineering of PEDOT derivatives as dopant-free hole-transporting materials for efficient and stable n–i–p structured perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01930e","10.1039/D0TC01930E","SLG | FTO","PEDOT","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","pin","Spin-coating","1800 rpm 30 s","","Spin-coating","1000 rpm 10 s 4000 rpm 30 s","","Spray pyrolysis","","","Evaporation","80 nm"
"Jingnan Song","2020/06/03","Bimolecular crystal instability and morphology of bulk heterojunction blends in organic and perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02030c","10.1039/D0TC02030C","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Al","FALSE","pin","Spin-coating","3800 rpm 30 s","150 C 15 min","Spin-coating","4000 rpm 10 s","100 C 10 min","Spin-coating","2000 rpm 40 s","","Evaporation","100 nm"
"Li Song","2020/06/23","Synergistic morphology control and non-radiative defect passivation using a crown ether for efficient perovskite light-emitting devices  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02062a","10.1039/D0TC02062A","SLG | ITO","pedot:pss","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","Bphen","Ag","FALSE","pin","Spin-coating","2500 rpm 20 min","140 C 20 min","Spin-coating","3000 rpm 60 s","70 C 5 min","","","","Evaporation","60 nm"
"Jeann Carlos da Silva","2020/06/22","Effect of the incorporation of poly(ethylene oxide) copolymer on the stability of perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02078h","10.1039/D0TC02078H","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","1000 rpm 10 s 4000 rpm 20 s","","Spin-coating","4000 rpm 20 s","","Evaporation","80 nm"
"Ransheng Chen","2020/06/03","Carbon-based HTL-free modular perovskite solar cells with improved contact at perovskite/carbon interfaces  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02226h","10.1039/D0TC02226H","SLG | FTO","spiro-meotad","Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3","CsFAMAPbIBr","MA, FA, Cs","0.14, 0.81, 0.05","Pb","1.0","Br, I","0.45, 2.55","SnO2","carbon","FALSE","nip","","","","Spin-coating","","","Spin-coating","","","",""
"Yifan Li","2020/07/27","A fast response, self-powered and room temperature near infrared-terahertz photodetector based on a MAPbI 3 /PEDOT:PSS composite  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02399j","10.1039/D0TC02399J","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","graphene oxide","Au","FALSE","pin","Spin-coating","5000 rpm 50 s","","Spin-coating","","","","","","Evaporation","60-100 nm"
"Xiaolong He","2020/06/30","High-efficiency and UV-stable flexible perovskite solar cells enabled by an alkaloid-doped C 60 electron transport layer  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02438d","10.1039/D0TC02438D","PET | FTO","spiro-ometad","FA0.85MA0.15PbI2.55Br0.45","FAMAPbIBr","MA, FA","0.15, 0.85","Pb","1.0","Br, I","0.45, 2.55","C60","Au","TRUE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","1000 rpm 10 s 5000 rpm 30 s","","","","","Evaporation","80 nm"
"Muthu Gomathy M. Pandian","2020/07/28","Effect of solvent vapour annealing on bismuth triiodide film for photovoltaic applications and its optoelectronic properties  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02455d","10.1039/D0TC02455D","SLG | ITO","PTAA","Cs3Bi2I9","CsBiI","Cs","3.0","Bi","2.0","I","9.0","PC61BM","Ag","FALSE","","Spin-coating","5000 rpm 50 seconds","100 C 5 min","","","","Spin-coating","700 rpm 30 s","100 C 10 min","Evaporation","100 nm"
"Hanwen Zhu","2020/06/23","Enhancing the properties of perovskite quantum dot light emitting devices through grid structures formed by trioctylphosphine oxide  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02462g","10.1039/D0TC02462G","UNKNOWN","pedot:pss","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","Cs2CO3","Al","FALSE","pin","Spin-coating","4000 rpm 40 s","","","","","","","","Evaporation","100 nm"
"Linlin Qiu","2020/08/06","A simple fabrication of high efficiency planar perovskite solar cells: controlled film growth with methylammonium iodide and green antisolvent sec-butyl alcohol  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02535f","10.1039/D0TC02535F","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","SnO2","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","100 C 30 min","Spin-coating","2000 rpm 10 s 4000 rpm 25 s","","Spin-coating","3000 rpm 30 s","150 C 30 min","Evaporation","100 nm"
"D. S. Gets","2020/10/22","Dipolar cation accumulation at the interfaces of perovskite light-emitting solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc02654a","10.1039/D0TC02654A","SLG | ITO","pedot:pss","MAPbBr2I","MAPbBrI","MA","1.0","Pb","1.0","I, Br","1.0, 2.0","C60","Ag","FALSE","pin","","","","","","","","","","Evaporation","80-120 nm"
"Donglei Zhou","2020/08/03","Efficient chromium ion passivated CsPbCl 3 :Mn perovskite quantum dots for photon energy conversion in perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03115a","10.1039/D0TC03115A","SLG | ITO","spiro-ometad","CsPbCl3","CsPbCl","Cs","1.0","Pb","1.0","Cl","3.0","SnO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","1500 rpm 10 s 5000 rpm 10 s","","Spin-coating","1500 rpm 10 s","","Evaporation","60-100 nm"
"Zhihai Liu","2020/07/22","Improving the performance of inverted two-dimensional perovskite solar cells by adding an anti-solvent into the perovskite precursor  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03133j","10.1039/D0TC03133J","SLG | ITO","PTAA","(BA)2(MA)3Pb4I13","BAMAPbI","MA, BA","3.0, 2.0","Pb","4.0","I","13.0","PCBM","Ag","FALSE","","Spin-coating","","","Spin-coating","","","Spin-coating","","","Evaporation","100 nm"
"Haibo Ye","2020/09/15","High performance flexible memristors based on a lead free AgBiI 4 perovskite with an ultralow operating voltage  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03287e","10.1039/D0TC03287E","PEN | ITO","pedot:pss","CsSnI3","CsSnI","Cs","1.0","Sn","1.0","I","3.0","SrTiO3","Ag","TRUE","pin","","","","Spin-coating","","","","","","Evaporation","80-120 nm"
"Tian Du","2020/08/20","Light-intensity and thickness dependent efficiency of planar perovskite solar cells: charge recombination versus extraction  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03390a","10.1039/D0TC03390A","SLG | ITO","polytpd","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","","","","","Spin-coating","","","Spin-coating","2000 rpm 45 s","","Evaporation","100 nm"
"Huiqiang Lu","2020/08/28","Hole transport materials based on a twisted molecular structure with a single aromatic heterocyclic core to boost the performance of conventional perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03404e","10.1039/D0TC03404E","SLG | FTO","spiro-ometad","UNKNOWN","","","","","","","","TiO2","Ag","FALSE","nip","Spin-coating","5000 rpm 60 s","","Spin-coating","2000 rpm 60 s","","Spin-coating","5000 rpm 60 s","","Evaporation","80-120 nm"
"Hengxiang Yang","2020/09/17","Enhancing the light-emitting performance and stability in CsPbBr 3 perovskite quantum dots via simultaneous doping and surface passivation  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03510f","10.1039/D0TC03510F","SLG | ITO","pedot:pss","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","Cs2CO3","Al","FALSE","pin","Spin-coating","3000 rpm 60 s","140 C 15 min","","","","","","","Evaporation",""
"Qinglei Zhang","2020/10/27","Photo-switchable electron-transporting layers for self-driven perovskite photodetectors towards high detectivity  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc03649h","10.1039/D0TC03649H","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","1000 rpm 10 s 5000 rpm 60 s","100 C 20 min","","","","Evaporation","100 nm"
"Xingyue Liu","2020/09/23","Enhancing the performance of all vapor-deposited electron-conductor-free CsPbBr 3 photodetectors via interface engineering for their applications in image sensing  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc04027d","10.1039/D0TC04027D","SLG | ITO","MoO3","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","ZnO","Ag","FALSE","","","","","","","","","","","Evaporation","120 nm"
"Chongyang Xu","2020/10/13","Crystallization management for high-performance perovskite solar cells by introducing an antisolvent into the perovskite precursor  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc04056h","10.1039/D0TC04056H","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","SnO2","Au","FALSE","nip","Spin-coating","3500 rpm 30 s","","Spin-coating","1000 rpm 10 s 4000 rpm 30 s","","Spin-coating","4000 rpm 30 s","150 C 25 min","Evaporation","60 nm"
"Liuquan Zhang","2020/11/12","Crystallization control and multisite passivation of perovskites with amino acid to boost the efficiency and stability of perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc04186f","10.1039/D0TC04186F","SLG | ITO","PTAA","Cs0.03(FA0.85MA0.15)0.97Pb(I0.85Br0.15)3","CsFAMAPbIBr","MA, FA, Cs","0.15, 0.82, 0.03","Pb","1.0","Br, I","0.45, 2.55","PC61BM","Ag","FALSE","","Spin-coating","6000 rpm 30 s","100 C 10 min","Spin-coating","","","Spin-coating","1000 rpm 45 s","","Evaporation","80 nm"
"Weibo Yan","2020/09/28","Highly thermal-stable perylene-bisimide small molecules as efficient electron-transport materials for perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc04241b","10.1039/D0TC04241B","SLG | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Ag","FALSE","pin","Spin-coating","6000 rpm 50 s","100 C 10 min","Spin-coating","6000 rpm 50 s","100 C 10 min","Evaporation","","","Evaporation","80-120 nm"
"Qingyao Fu","2020/11/09","The importance of the molecular weight of PEDOT hole transporting materials for efficient organic solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc04372a","10.1039/D0TC04372A","SLG | ITO","PEDOT","UNKNOWN","","","","","","","","PDINO","Al","FALSE","pin","Spin-coating","4000 rpm 40 s","160 C 20 min","","","","Spin-coating","3000 rpm 30 s","","Evaporation","80-120 nm"
"Chenyang Wang","2020/11/10","A dual promotion strategy of interface modification and ion doping for efficient and stable carbon-based planar CsPbBr 3 perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc04624h","10.1039/D0TC04624H","SLG | FTO","NiOx","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","TiO2","carbon","FALSE","pin","","","","","","","Spin-coating","4000 rpm 30 s","","Doctor blading",""
"Xiaoxiao Xu","2020/11/17","Grain size control for high-performance formamidinium-based perovskite solar cells via suppressing heterogenous nucleation  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc04833j","10.1039/D0TC04833J","SLG | FTO","pedot:pss","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","pin","","","","","","","Spin-coating","","","Evaporation","60 nm"
"Joji Ohshita","2021/01/08","Synthesis of spirodithienogermole with triphenylamine units as a dopant-free hole-transporting material for perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc04905k","10.1039/D0TC04905K","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","4000 rpm 25 s","65 C 1 min 100 C 9 min","Spin-coating","2800 rpm 20 s","550 C 60 min","Evaporation","80-120 nm"
"Ioannis Ierides","2021/02/16","Inverted organic photovoltaics with a solution-processed ZnO/MgO electron transport bilayer  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc04955g","10.1039/D0TC04955G","SLG | ITO","MoO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","MgO","Ag","FALSE","","Evaporation","","","","","","Spin-coating","1500 rpm 30 seconds","","Evaporation","80-120 nm"
"M. Dehghanipour","2020/12/08","Fabrication of stable and efficient 2D/3D perovskite solar cells through post-treatment with TBABF 4  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05010e","10.1039/D0TC05010E","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","5000 rpm 20 s","","Spin-coating","4000 rpm 60 s","","Sputtering","100 nm"
"Chongyang Xu","2020/12/08","Stability and efficiency improved perovskite solar cells through tuning the hydrophobicity of the hole transport layer with an organic semiconductor  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05113f","10.1039/D0TC05113F","SLG | ITO","PTB7","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","","Spin-coating","5000 rpm 40 s","120 C 30 min","Spin-coating","4000 rpm 30 s","","Spin-coating","1500 rpm 30 s","","Evaporation","100 nm"
"Guodong Xiong","2020/12/19","Radiation hardness and abnormal photoresponse dynamics of the CH 3 NH 3 PbI 3 perovskite photodetector ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05148a","10.1039/D0TC05148A","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","","120 C 20 min","Spin-coating","2000 rpm 20 s 4000 rpm 60 s","","Spin-coating","","","Evaporation","100 nm"
"Jianfeng Ou","2020/12/10","Ampholytic interface induced in situ growth of CsPbBr 3 for highly efficient perovskite light-emitting diodes  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05335j","10.1039/D0TC05335J","SLG | ITO","pedot:pss","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","Cs2CO3","Ag","FALSE","pin","Spin-coating","2500 rpm 40 s","","Spin-coating","","","","","","Evaporation","100 nm"
"Yongjin Long","2020/12/29","Zinc ion functional doping for all-inorganic planar CsPbIBr 2 perovskite solar cells with efficiency over 10.5%  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05455k","10.1039/D0TC05455K","SLG | FTO","spiro-ometad","CsPbIBr2","CsPbIBr","Cs","1.0","Pb","1.0","Br, I","2.0, 1.0","TiO2","Ag","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","","","Spin-coating","1000 rpm 5 s","","Evaporation","80 nm"
"Ransheng Chen","2021/02/04","Low-temperature sprayed carbon electrode in modular HTL-free perovskite solar cells: a comparative study on the choice of carbon sources  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05528j","10.1039/D0TC05528J","SLG | FTO","spiro-ometad","Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3","CsFAMAPbIBr","MA, FA, Cs","0.14, 0.81, 0.05","Pb","1.0","Br, I","0.45, 2.55","SnO2","carbon","FALSE","nip","","","","Spin-coating","1000 rpm 10 s 6000 rpm 30 s","","Spin-coating","3000 rpm 30 s","200 C 30 min","Spray-coating",""
"Wenbo Liu","2021/02/02","Improving the hole transport performance of perovskite solar cells through adjusting the mobility of the as-synthesized conjugated polymer  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05725h","10.1039/D0TC05725H","SLG | ITO","P3HT","(MA0.8FA0.2)Pb(I0.93Cl0.07)3","","","","","","","","SnO2","Ag","FALSE","nip","","","","Spin-coating","1200 rpm 18 s 4300 rpm 60 s","","Spin-coating","6000 rpm 60 s","150 C 30 min","Evaporation","80-120 nm"
"Mozhgan Yavari","2021/03/16","A synergistic Cs 2 CO 3 ETL treatment to incorporate Cs cation into perovskite solar cells via two-step scalable fabrication  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05877g","10.1039/D0TC05877G","SLG | ITO","spiro-ometad","δ-FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","Cs2CO3","Ag","FALSE","nip","Spin-coating","","","Spin-coating","1500 rpm 30 s","70 C 1 min","Spin-coating","","","Evaporation","80-120 nm"
"Olivia Fernandez-Delgado","2021/02/15","The role of fullerene derivatives in perovskite solar cells: electron transporting or electron extraction layers?  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc05903j","10.1039/D0TC05903J","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Ag","FALSE","pin","","","","Spin-coating","1000 rpm 5 s 6000 rpm 45 s","100 C 10 min","","","","Evaporation","80-120 nm"
"Jihyun Lim","2021/02/08","Tris(4-(1-phenyl-1 H -benzo[ d ]imidazole)phenyl)phosphine oxide for enhanced mobility and restricted traps in photovoltaic interlayers  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc06049f","10.1039/D0TC06049F","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Ag","FALSE","pin","Spin-coating","","140 C 10 min","Spin-coating","5000 rpm 30 s","","","","","Evaporation","90 nm"
"Xiaokun Huang","2021/03/09","Improved performance of perovskite light-emitting diodes with a NaCl doped PEDOT:PSS hole transport layer  ","https://pubs.rsc.org/en/content/articlehtml/2021/tc/d0tc06058e","10.1039/D0TC06058E","SLG | ITO","pedot:pss","PEABr1.25(Cs0.7FA0.3PbBr3)","","","","","","","","UNKNOWN","Al","FALSE","pin","Spin-coating","4000 rpm 30 s","","Spin-coating","4000 rpm 2 min","","","","","Evaporation","80-120 nm"
"Liangyou Lin","2021/01/25","Tunable transition metal complexes as hole transport materials for stable perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc00060h","10.1039/D1CC00060H","SLG | FTO","spiro-ometad","FAPbBr3","FAPbBr","FA","1.0","Pb","1.0","Br","3.0","SnO2","Cu","FALSE","","","","","","","","","","","Evaporation",""
"Weihua Zhang","2021/03/23","Enhanced efficiency of printable mesoscopic perovskite solar cells using ionic liquid additives  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc00169h","10.1039/D1CC00169H","SLG | FTO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","FALSE","","","","","","","","","","","Screen printing",""
"Bin Huang","2021/03/09","A novel AIE molecule as a hole transport layer enables efficient and stable perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc00484k","10.1039/D1CC00484K","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","","","","","","Spin-coating","5000 rpm 30 s","","Evaporation","80-120 nm"
"Yawen Li","2021/04/08","Organic photovoltaic electron acceptors showing aggregation-induced emission for reduced nonradiative recombination  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc01170g","10.1039/D1CC01170G","SLG | ITO","pedot:pss","UNKNOWN","","","","","","","","ZnO","Ag","FALSE","pin","Spin-coating","4000 rpm 30 s","","","","","","","","Evaporation","80-120 nm"
"Zengqi Huang","2021/05/24","Ultra-flexible and waterproof perovskite photovoltaics for washable power source applications  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc01519b","10.1039/D1CC01519B","PET | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PEI","Ag","TRUE","pin","Spin-coating","2000 rpm 30 s","120 C 20 min","Spin-coating","4000 rpm 25 s","80 C 1 min 110 C 10 min","","","","Evaporation","80-120 nm"
"Kun-Mu Lee","2021/06/01","A star-shaped cyclopentadithiophene-based dopant-free hole-transport material for high-performance perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc02396a","10.1039/D1CC02396A","UNKNOWN","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Al","FALSE","nip","Spin-coating","2000 rpm 30 s","","Spin-coating","1000 rpm 10 s 5000 rpm 20 s","","Spin-coating","","","Evaporation","80-120 nm"
"Yuanyuan Zhao","2021/06/29","Enhanced hole extraction by electron-rich alloys in all-inorganic CsPbBr 3 perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2021/cc/d1cc02773e","10.1039/D1CC02773E","SLG | FTO","spiro-ometad","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","TiO2","carbon","FALSE","nip","","","","Spin-coating","","","Spin-coating","","","Evaporation",""
"Jianting Huang","2021/12/08","Defect passivation of a perovskite film by ZnIn 2 S 4 nanosheets for efficient and stable perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d1cc06071f","10.1039/D1CC06071F","SLG | FTO","spiro-ometad","UNKNOWN","","","","","","","","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 20 s","","Spin-coating","","","Spin-coating","","","Evaporation","60-100 nm"
"Jiaxing Song","2021/12/21","Plasmon-coupled Au-nanochain functionalized PEDOT:PSS for efficient mixed tin–lead iodide perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2022/cc/d1cc06117h","10.1039/D1CC06117H","SLG | ITO","pedot:pss","FA0.7MA0.3Sn0.5Pb0.5I3","FAMASnPbI","MA, FA","0.3, 0.7","Pb, Sn","0.5, 0.5","I","3.0","C60","Cu","FALSE","pin","Spin-coating","4000 rpm 50 s","150 C 10 min","","","","","","","Evaporation","80 nm"
"Lijia Guo","2021/04/06","Fabrication of single phase CsPbBr 3 films via in situ metal reaction  ","https://pubs.rsc.org/en/content/articlehtml/2021/ce/d1ce00103e","10.1039/D1CE00103E","SLG | FTO","P3HT","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","SnO2","carbon","FALSE","","Spin-coating","2500 rpm 60 s","","","","","Spin-coating","2000 rpm 30 s","","Doctor blading",""
"Seung-Bum Cho","2021/03/03","Emission wavelength control of CsPb(Br 1−x Cl x ) 3 nanocrystals for blue light-emitting diode applications ","https://pubs.rsc.org/en/content/articlehtml/2021/ce/d1ce00132a","10.1039/D1CE00132A","SLG | ITO","pedot:pss","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","ZnO","Al","FALSE","pin","Spin-coating","5000 rpm 30 s","","","","","Spin-coating","2000 rpm 30 s","80 C 20 min","Evaporation","100 nm"
"Fang Wen","2021/11/02","High-temperature inverted annealing for efficient perovskite photovoltaics  ","https://pubs.rsc.org/en/content/articlehtml/2021/ce/d1ce00914a","10.1039/D1CE00914A","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","SnO2","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","800 rpm 10 s","","Spin-coating","3000 rpm 30 s","150 C 30 min","Evaporation","100 nm"
